1140,2625420,2
1140,1977959,3
1140,2268573,2
1140,303948,3
1140,1509395,3
1140,1001129,2
1140,1927580,1
1140,883478,2
1140,2329026,3
1140,1314869,3
1140,636262,4
1140,2237185,3
1140,1166912,1
1140,2062350,3
1140,1139570,3
1140,530789,5
1140,2439493,5
1140,238740,3
1140,1473980,3
1140,952156,4
1140,1903324,1
1140,2457095,2
1140,1876520,2
1140,184705,3
1140,507603,1
1140,341649,3
1140,322009,3
1140,1664010,5
1140,1902838,3
1140,2514777,1
1140,1298511,3
1140,491531,1
1140,2606799,2
1140,647979,2
1140,716173,4
1140,789014,2
1140,798296,2
1140,682963,3
1140,16272,3
1140,319058,3
1140,305344,1
1140,1710658,2
1140,2147527,4
1140,2315012,2
1140,402266,1
1140,752642,2
1140,555528,2
1140,2056022,2
1140,1745107,3
1140,1519378,3
1140,2118461,4
1140,387418,1
1140,1114324,4
1140,1932594,4
1140,1061195,4
1140,1461435,1
1140,1037245,4
1140,1639792,1
1140,57633,1
1140,2143500,3
1140,1002509,4
1140,2238060,5
1140,188613,3
1140,2634967,3
1140,1300759,3
6738,1977959,4
6738,1673185,4
6738,1001129,2
6738,1927580,3
6738,727242,1
6738,1314869,1
6738,1792741,4
6738,2237185,4
6738,2439493,1
6738,530789,5
6738,238740,4
6738,1473980,1
6738,507603,1
6738,1664010,5
6738,1935793,1
6738,491531,4
6738,2606799,2
6738,1146000,3
6738,1299887,3
6738,798296,4
6738,682963,4
6738,319058,4
6738,305344,1
6738,2150746,3
6738,2315012,4
6738,2118461,4
6738,1806515,3
6738,387418,1
6738,1932594,2
6738,1663888,3
6738,1037245,4
6738,57633,3
6738,2143500,4
6738,1612901,4
6738,1300759,4
10559,2268573,3
10559,1673185,4
10559,2237185,4
10559,2439493,1
10559,2541385,4
10559,1902838,4
10559,71594,2
10559,647979,4
10559,789014,1
10559,16272,3
10559,752642,3
10559,387418,1
10559,1663888,5
10559,1461435,1
10559,1639792,1
5489,1977959,3
5489,1673185,3
5489,1792741,3
5489,2237185,3
5489,1139570,4
5489,2439493,1
5489,238740,2
5489,1473980,2
5489,1028463,5
5489,1876520,1
5489,1664010,4
5489,1298511,3
5489,71594,3
5489,2291306,5
5489,1146000,2
5489,2256485,1
5489,647979,3
5489,1299887,3
5489,798296,2
5489,16272,2
5489,305344,4
5489,752642,2
5489,2118461,4
5489,387418,1
5489,1061195,3
5489,1663888,4
5489,1461435,3
5489,1037245,3
5489,57633,2
5489,2143500,2
5489,1300759,4
5076,303948,4
5076,525356,1
5076,1509395,3
5076,883478,3
5076,235789,4
5076,1314869,4
5076,2062350,5
5076,1139570,2
5076,2439493,1
5076,530789,3
5076,2040859,1
5076,1110156,2
5076,1028463,5
5076,1903324,1
5076,2541385,4
5076,595778,4
5076,1664010,5
5076,2514777,5
5076,491531,5
5076,2606799,5
5076,1146000,2
5076,716173,5
5076,305344,2
5076,1710658,2
5076,1403217,2
5076,555528,3
5076,2056022,3
5076,1745107,3
5076,1806515,4
5076,2118461,5
5076,387418,2
5076,1061195,3
5076,1663888,1
5076,1461435,1
5076,1639792,1
5076,2238060,5
5076,1852040,3
859,2625420,3
859,1977959,3
859,2268573,2
859,303948,4
859,1673185,2
859,1227322,2
859,786312,3
859,525356,4
859,1509395,3
859,1927580,1
859,883478,4
859,235789,5
859,1792741,2
859,1314869,4
859,636262,1
859,2237185,4
859,1166912,3
859,2062350,1
859,1139570,3
859,2439493,1
859,530789,3
859,238740,3
859,1563935,2
859,1473980,3
859,1110156,5
859,1028463,4
859,2541385,3
859,595778,1
859,184705,3
859,322009,3
859,1470123,2
859,1664010,5
859,1902838,2
859,2514777,5
